"","Date","FlowRate","BCoV","N1","N2","N1Error","N2Error","PMMoV","LoessN1","LoessN2","DeTrendedN1","DeTrendedN2"
"140",2021-03-26,39.16,4.25,206789,232628,28680,20931,31633241,155431.175821691,144587.755634733,51357.824178309,88040.244365267
"141",2021-03-28,37.01,5.794,187614,180174,10354,23037,33442218,145689.780764214,139076.846027121,41924.2192357861,41097.1539728788
"142",2021-03-29,37.6,5.564,163089,182722,20041,25904,34488729,140819.083235475,136321.391223315,22269.9167645246,46400.6087766846
"143",2021-03-30,37.24,4.33,229259,217509,25108,11488,49145484,135948.385706737,133565.936419509,93310.6142932631,83943.0635804905
"144",2021-03-31,39.88,6.22,57567,61016,9370,9989,15595359,129502.206623616,128573.997693681,-71935.2066236164,-67557.9976936811
"145",2021-04-01,41.68,2.332,102250,129410,4231,17285,57995293,123056.027540496,123582.058967853,-20806.027540496,5827.94103214721
"146",2021-04-02,41.17,0.616,138033,121829,14038,11545,25760585,116609.848457376,118590.120242024,21423.1515426245,3238.87975797558
"147",2021-04-05,39.15,3.042,81144,83829,5783,7972,29940805,95905.6111940351,95977.4212360491,-14761.6111940351,-12148.4212360491
"148",2021-04-06,40.39,2.499,95585,75403,17944,15121,23214348,89004.1987729217,88439.854900724,6580.80122707832,-13036.854900724
"149",2021-04-07,38.47,0.05,38200,52890,13864,14867,42655961,83988.500221955,82486.5200181101,-45788.500221955,-29596.5200181101
"150",2021-04-08,37.75,1.131,76823,76575,12745,10913,46264034,78972.8016709883,76533.1851354962,-2149.80167098829,41.8148645038309
"151",2021-04-12,43.05,0.534,54648,54719,3065,12310,27088663,74296.0948556075,70140.312416995,-19648.0948556075,-15421.312416995
"152",2021-04-09,37.84,0.829,61317,61571,5445,1987,21176751,73957.1031200216,70579.8502528823,-12640.1031200216,-9008.85025288226
"153",2021-04-11,36.69,0.676,57078,57181,734,20435,23966932,74183.0976104122,70286.8250289574,-17105.0976104122,-13105.8250289574
"154",2021-04-13,40.2,0.831,47752,45130,4034,7879,22721472,74409.0921008028,69993.7998050325,-26657.0921008028,-24863.7998050325
"155",2021-04-14,34.08,3.165,126933,91764,8465,17507,21408332,76329.5902239326,71639.8634776794,50603.4097760674,20124.1365223206
"156",2021-04-15,39.02,3.684,571269,706418,28020,34965,23628196,78250.0883470625,73285.9271503263,493018.911652938,633132.072849674
"157",2021-04-19,36.82,4.017,100841,100072,19926,10515,24605232,100716.114604565,87811.3800259429,124.885395435296,12260.6199740571
"158",2021-04-18,36.43,6.416,86885,85221,21516,20335,27006384,93867.6052264406,83518.2502916197,-6982.60522644059,1702.74970838035
"159",2021-04-16,38.02,3.614,74538,65587,2992,10164,44700686,80170.5864701923,74931.9908229731,-5632.58647019234,-9344.99082297314
"160",2021-04-20,37.58,3.005,84762,71934,16943,10163,28225761,107564.623982689,92104.5097602662,-22802.6239826888,-20170.5097602662
"161",2021-04-21,36.73,1.38,71220,81133,14074,14120,73460254,116790.933276943,98834.5779334831,-45570.9332769426,-17701.5779334831
"162",2021-04-22,39.01,0.3206456,19767,27173,3983,8360,29760688,126017.242571196,105564.6461067,-106250.242571196,-78391.6461067001
"163",2021-04-23,38.36,21.831,165555,181268,75661,45828,22118224,135243.55186545,112294.714279917,30311.4481345498,68973.2857200829
"164",2021-04-25,35.01,12.09,282977,435562,22408,45556,15787031,149630.360088523,132751.723533547,133346.639911477,302810.276466453
"165",2021-04-26,36.04,16.079,675748,546554,137286,72044,28619982,156823.76420006,142980.228160362,518924.23579994,403573.771839638
"166",2021-04-27,36.49,12.757,371943,518266,86848,75370,37592445,164017.168311596,153208.732787177,207925.831688404,365057.267212823
"167",2021-04-28,36.01,6.45,94275,85525,4185,18444,38765405,167491.148767424,155232.003143088,-73216.148767424,-69707.0031430879
"168",2021-04-29,35.12,4.724,175204,198446,15506,18245,37941329,170965.129223252,157255.273498998,4238.87077674817,41190.7265010016
"169",2021-05-03,35.94,9.105,196394,394640,26169,71939,40691546,159582.026372138,159547.371769671,36811.9736278622,235092.628230329
"170",2021-04-30,36.16,5.958,328607,497396,44500,59224,33506123,174439.10967908,159278.543854909,154167.89032092,338117.456145091
"171",2021-05-04,39.17,8.837,147561,386470,76525,19751,22351519,154629.665269824,159636.981074591,-7068.66526982386,226833.018925409
"172",2021-05-02,35.23,4.71,876165,1134521,94015,128714,42099107,164534.387474452,159457.76246475,711630.612525548,975063.23753525
"173",2021-05-05,38.48,2.855,159827,120317,9021,16053,42196178,147727.122836406,156555.534452801,12099.8771635942,-36238.5344528012
"174",2021-05-06,37.36,1.908,79162,70267,9185,18605,30155934,140824.580402988,153474.087831011,-61662.5804029878,-83207.0878310112
"175",2021-05-10,35.16,2.554,84593,157695,18929,30485,38983491,115336.748577547,131215.049322289,-30743.7485775469,26479.9506777111
"176",2021-05-07,38.08,3.05,111268,107582,18330,3736,35259644,133922.03796957,150392.641209221,-22654.0379695698,-42810.6412092211
"177",2021-05-11,36.22,0.553,96044,152615,11795,27931,41588741,109141.652113539,124822.518693312,-13097.6521135393,27792.4813066884
"178",2021-05-09,35.54,4.711,134685,112974,32028,8311,31831223,121531.845041555,137607.579951266,13153.1549584455,-24633.5799512664
"179",2021-05-13,35.95,14.798,126696,90213,21572,15355,37697772,103534.284562985,121064.794230404,23161.7154370151,-30851.7942304037
"180",2021-05-12,35.45,3.343,112305,121268,11283,28106,29802158,106337.968338262,122943.656461858,5967.03166173791,-1675.65646185765
"181",2021-05-18,35.53,9.286,109712,77141,33957,18030,21766471,87853.5929970254,110914.936958908,21858.4070029746,-33773.9369589077
"182",2021-05-17,34.13,4.522,32575,88614,9497,23036,17883422,91072.844944696,112982.685718918,-58497.844944696,-24368.6857189182
"183",2021-05-14,36.12,5.07,324203,465104,12494,17076,34292122,100730.600787708,119185.93199895,223472.399212292,345918.06800105
"184",2021-05-16,33.96,1.437,48434,129852,13333,19924,40843147,94292.0968923666,115050.434478929,-45858.0968923666,14801.5655210713
"185",2021-05-19,35.81,6.458,110162,151513,24625,13453,21149673,85498.1212652841,108979.456579639,24663.8787347159,42533.5434203614
"186",2021-05-20,35.98,14.337,224021,285371,26974,5869,49311472,83142.6495335428,107043.976200369,140878.350466457,178327.023799631
"187",2021-05-21,36.89,0.921,29085,68485,11603,16352,20880582,80787.1778018015,105108.4958211,-51702.1778018015,-36623.4958211004
"188",2021-05-23,35.23,5.213,37957,96759,4384,20042,26584703,84822.9927761205,107007.090310642,-46865.9927761205,-10248.0903106423
"189",2021-05-24,35.72,1.172,72954,96098,3782,32189,33044319,86840.90026328,107956.387555413,-13886.90026328,-11858.3875554132
"190",2021-05-25,36.93,2.255,29749,62269,4838,16584,40178755,88858.8077504395,108905.684800184,-59109.8077504395,-46636.6848001841
"191",2021-05-27,35.74,5.514,72656,118349,22335,8126,25314255,93327.7266866288,112981.913102671,-20671.7266866288,5367.08689732873
"192",2021-05-26,36.11,3.549,69321,108741,7269,6256,27752319,91093.2672185342,110943.798951428,-21772.2672185342,-2202.7989514277
"193",2021-05-28,36.05,0.939,227547,420535,29214,59510,57290932,95562.1861547235,115020.027253915,131984.813845276,305514.972746085
"194",2021-05-30,32.99,1.855,65951,76638,9066,13276,43056344,106113.006124254,124712.272279875,-40162.0061242536,-48074.2722798748
"195",2021-05-31,32.02,3.645,147362,171524,8567,31867,37833422,111388.416109019,129558.394792855,35973.5838909814,41965.6052071453
"196",2021-06-01,33.79,6.124,206761,235186,21414,23456,34953776,116663.826093784,134404.517305835,90097.1739062164,100781.482694165
"197",2021-06-02,35.54,1.221,75581,38796,29126,23053,47577524,117623.928211231,134698.195102409,-42042.9282112311,-95902.1951024088
"198",2021-06-03,34.84,2.15,90160,136876,12158,48205,64221388,118584.030328679,134991.872898983,-28424.0303286785,1884.12710101722
"199",2021-06-08,36.4,0.982,1459947,1464354,99522,107927,54673826,97441.5057416858,107156.719842381,1362505.49425831,1357197.28015762
"200",2021-06-07,34.51,1.919,146407,184426,10590,50158,43164477,102967.162417796,114188.927555675,43439.8375822042,70237.0724443252
"201",2021-06-06,34.39,9.57,658991,647639,11247,75795,32185831,108492.819093906,121221.135268969,550498.180906094,526417.864731031
"202",2021-06-04,35.38,3.052,117448,156669,16437,28382,45032488,119544.132446126,135285.550695557,-2096.13244612601,21383.4493044432
"203",2021-06-09,36.49,0.721,248692,370469,6961,1412,30137056,92370.4914808772,100761.769797927,156321.508519123,269707.230202073
"204",2021-06-10,36.74,2.476,102900,164867,8366,23369,36892514,87299.4772200686,94366.8197534733,15600.5227799314,70500.1802465267
"205",2021-06-11,36.68,0.108,9837,8307,4477,1795,44549143,82228.4629592601,87971.8697090196,-72391.4629592601,-79664.8697090196
"206",2021-06-13,34.48,0.375,27032,24717,6660,8569,63814477,70150.4759234488,71393.099081111,-43118.4759234488,-46676.099081111
"207",2021-06-14,33.82,2.446,74682,50687,2652,8279,36207661,64111.4824055432,63103.7137671566,10570.5175944568,-12416.7137671566
"208",2021-06-15,35.06,0.666,44362,47459,12414,7126,31997774,58072.4888876376,54814.3284532023,-13710.4888876376,-7355.32845320231
